Ngay,Nhiet do,Nang,Mua
01/01/2016,20.2,4.5,2.8
02/01/2016,19.9,0,2.1
03/01/2016,21.3,0,5.1
04/01/2016,23,1.5,0.2
05/01/2016,23,1.5,0.1
06/01/2016,23.1,2.5,0.1
07/01/2016,23.7,6.8,0
08/01/2016,23.2,5.9,0
09/01/2016,23,4.2,0
10/01/2016,24.5,8.9,0
11/01/2016,23.7,2.2,0
12/01/2016,23.1,0,2.5
13/01/2016,22.5,0.8,4.7
14/01/2016,23.3,4.9,0
15/01/2016,23.1,1.1,0
16/01/2016,23.3,0.5,0.7
17/01/2016,22.8,1.3,1.5
18/01/2016,21.3,0,3.3
19/01/2016,20.2,0,1.9
20/01/2016,21.2,1,0.4
21/01/2016,22.4,0,0
22/01/2016,23,0,0
23/01/2016,20,0,18.4
24/01/2016,14.8,0,69.6
25/01/2016,11.9,0,6
26/01/2016,12.9,0,2.4
27/01/2016,15,0,1.4
28/01/2016,18.3,1.2,0
29/01/2016,20.5,0,0.2
30/01/2016,20.3,0,0.7
31/01/2016,20.4,0.1,0.2
01/02/2016,19.3,0,4.5
02/02/2016,16.6,0,11.9
03/02/2016,16.3,0,2.2
04/02/2016,17.2,0,3.7
05/02/2016,16.5,0,4.8
06/02/2016,16.1,0,3.3
07/02/2016,15.4,1.4,8.3
08/02/2016,14.6,2.4,0
09/02/2016,17.7,0,0
10/02/2016,19.4,6.9,0
11/02/2016,21.1,9.8,0
12/02/2016,22.6,9.4,0
13/02/2016,23.5,9,0
14/02/2016,24.6,9,0
15/02/2016,20.3,0,0.4
16/02/2016,17.1,0,2.3
17/02/2016,17,0,1.4
18/02/2016,17.2,0,1.1
19/02/2016,19.4,2.2,0
20/02/2016,17.1,0,2.3
21/02/2016,18.8,7,0
22/02/2016,21,9,0
23/02/2016,21.4,0.4,0.9
24/02/2016,18.1,0,27.7
25/02/2016,15.7,0,7.6
26/02/2016,15.4,0,0.9
27/02/2016,15.1,0,2
28/02/2016,17.1,0,1.1
29/02/2016,18.3,0,0
01/03/2016,17.7,0.2,0
02/03/2016,19.7,0,0.9
03/03/2016,21.2,5.9,0.5
04/03/2016,21.9,9.8,0
05/03/2016,22.9,7.8,0
06/03/2016,24,4.9,0
07/03/2016,24.3,7.5,0
08/03/2016,25.9,8.6,0
09/03/2016,28.4,9,0
10/03/2016,24,3.2,0.8
11/03/2016,18.3,0,1.7
12/03/2016,19.1,0,0
13/03/2016,22.5,8,0
14/03/2016,19.9,0,0.3
15/03/2016,19.6,0,0
16/03/2016,22.6,5.4,0
17/03/2016,23.5,4.4,0
18/03/2016,26.4,8.2,0
19/03/2016,24.6,4.1,0
20/03/2016,25,7.2,0
21/03/2016,26.7,7.7,0
22/03/2016,24.8,2.2,0
23/03/2016,25.5,4,0
24/03/2016,22.8,0,1.2
25/03/2016,18.2,0,12.5
26/03/2016,18.2,0,0.9
27/03/2016,17.8,0,5
28/03/2016,19.6,0,1
29/03/2016,22.2,5,0
30/03/2016,23,8,0
31/03/2016,23.5,0.1,0
01/04/2016,24.1,1.8,0
02/04/2016,25.1,5.9,0
03/04/2016,25.7,7.6,4
04/04/2016,26.3,5.8,0
05/04/2016,28.3,6.9,0
06/04/2016,28,10,0
07/04/2016,27.8,10,0
08/04/2016,26.5,8.3,0
09/04/2016,25.5,0.4,0
10/04/2016,28.8,7.9,0
11/04/2016,27.4,9.4,0
12/04/2016,26.9,6.7,0.5
13/04/2016,30.3,9.7,0
14/04/2016,30.4,9.8,0
15/04/2016,29.3,10,0
16/04/2016,29.5,9.3,0
17/04/2016,28.4,6.8,10.7
18/04/2016,25,0,0
19/04/2016,23.6,0,0
20/04/2016,25.6,4.6,0.1
21/04/2016,26.1,7.5,0
22/04/2016,27.8,8.4,0
